demo_family_id,demo_case_id,demo_person_id,is_landowner,is_displaced,consent_given
DEMO-FAM-001,DEMO-CASE-001,DEMO-PERSON-001,true,true,true
DEMO-FAM-002,DEMO-CASE-002,DEMO-PERSON-002,true,true,true
DEMO-FAM-003,DEMO-CASE-003,DEMO-PERSON-003,true,true,false
DEMO-FAM-004,DEMO-CASE-004,DEMO-PERSON-004,true,true,true
DEMO-FAM-005,DEMO-CASE-005,DEMO-PERSON-005,true,false,false
DEMO-FAM-006,DEMO-CASE-006,DEMO-PERSON-006,true,true,true
DEMO-FAM-007,DEMO-CASE-008,DEMO-PERSON-007,true,true,true
DEMO-FAM-008,DEMO-CASE-010,DEMO-PERSON-009,true,true,true
DEMO-FAM-009,DEMO-CASE-011,DEMO-PERSON-010,true,true,false
DEMO-FAM-010,DEMO-CASE-012,DEMO-PERSON-011,true,true,true
DEMO-FAM-011,DEMO-CASE-014,DEMO-PERSON-013,true,true,false
DEMO-FAM-012,DEMO-CASE-015,DEMO-PERSON-014,true,false,true
DEMO-FAM-013,DEMO-CASE-015,DEMO-PERSON-015,false,true,true
