demo_compensation_id,demo_case_id,demo_person_id,amount_awarded,amount_paid,status,awarded_on
DEMO-COMP-001,DEMO-CASE-001,DEMO-PERSON-001,2850000,2850000,paid,2026-07-20
DEMO-COMP-002,DEMO-CASE-002,DEMO-PERSON-002,4100000,2050000,awarded,2026-08-20
DEMO-COMP-003,DEMO-CASE-003,DEMO-PERSON-003,3650000,0,disputed,2026-08-25
DEMO-COMP-004,DEMO-CASE-004,DEMO-PERSON-004,6200000,6200000,paid,2026-08-01
DEMO-COMP-005,DEMO-CASE-005,DEMO-PERSON-005,1750000,0,assessed,
DEMO-COMP-006,DEMO-CASE-006,DEMO-PERSON-006,2250000,0,pending,
DEMO-COMP-007,DEMO-CASE-008,DEMO-PERSON-007,5100000,2550000,awarded,2026-08-10
DEMO-COMP-008,DEMO-CASE-009,DEMO-PERSON-008,980000,980000,paid,2026-07-05
DEMO-COMP-009,DEMO-CASE-010,DEMO-PERSON-009,7200000,7200000,paid,2026-08-25
DEMO-COMP-010,DEMO-CASE-011,DEMO-PERSON-010,6800000,3400000,awarded,2026-08-22
DEMO-COMP-011,DEMO-CASE-012,DEMO-PERSON-011,4300000,0,pending,
DEMO-COMP-012,DEMO-CASE-013,DEMO-PERSON-012,3000000,0,disputed,2026-08-29
DEMO-COMP-013,DEMO-CASE-014,DEMO-PERSON-013,5600000,2800000,awarded,2026-08-15
DEMO-COMP-014,DEMO-CASE-015,DEMO-PERSON-014,6400000,0,assessed,
DEMO-COMP-015,DEMO-CASE-015,DEMO-PERSON-015,2100000,2100000,paid,2026-08-18
