project_id,project_name,department,implementing_agency,district,taluk,village,notification_type,notification_no,notification_date,status,area_ha,area_acres,compensation_awarded,compensation_paid,payment_status,owner_data_status,source,source_reference
REAL-NH169-UDUPI-2026,"Sanoor–Bikarnakatte Section, NH 169 (Old NH 13), Package-III",Ministry of Road Transport and Highways,"National Highways Authority / Competent Authority, Mangaluru",Udupi,Karkala,Sanoor (CT),Section 3D declaration,S.O. 1798(E),2026-04-08,acquired_declared,0.628694,1.553537,,,not_found_in_public_source,public_schedule,Gazette of India / Gazette Tracker,CG-DL-E-09042026-271655
REAL-NH7-BENGALURU-2026,"NH 7, Km 534.72–556.84, Bengaluru Urban",Ministry of Road Transport and Highways,Competent Authority / Special Land Acquisition Officer,Bengaluru Urban,Bengaluru North,Sonnappanahalli,Section 3D declaration,S.O. 980(E),2026-02-24,acquired_declared,0.166933,0.4125,,,not_found_in_public_source,public_schedule,Gazette of India / Gazette Tracker,CG-DL-E-25022026-270451
REAL-UKP3-2026,Upper Krishna Project Phase III,"Water Resources Department, Government of Karnataka",Krishna Bhagya Jala Nigam Ltd. / UKP Special Land Acquisition Officers,Multi-district,Multiple,186 villages,Project-level reported acquisition,,,ongoing,30579.2612,75563.0,,5440000000.0,partially_reported,not_aggregated,Times of India,"03-Jun-2026 report: 2,543 acres paid; ₹544 crore disbursed for 1,208 acres in 26 villages"
REAL-NH748A-BELAGAVI-2026,"NH 748A, Km 0+000–43+800, Belagavi",Ministry of Road Transport and Highways,Special Land Acquisition Officer / NHAI,Belagavi,Multiple,Multiple,Section 3D declaration,S.O. 1672(E),2026-04-01,acquired_declared,25.88103,63.953418,,,not_found_in_public_source,public_schedule,Gazette Tracker,CG-DL-E-02042026-271533
REAL-NH748A-BAGALKOTE-2026,"NH 748A, Km 136+100–182+300, Bagalkote",Ministry of Road Transport and Highways,Special Land Acquisition Officer / NHAI,Bagalkote,Multiple,Multiple,Section 3D declaration,S.O. 4376(E),2026-08-07,acquired_declared,7.029115,17.369321,,,not_found_in_public_source,public_schedule,Gazette Tracker,CG-DL-E-07082026-275280
REAL-NH13-SHIVAMOGGA-2026,"NH 13, Chitradurga–Shivamogga Section Km 422–523.600",Ministry of Road Transport and Highways,Competent Authority / NHAI,Shivamogga,Bhadravati,"Yedehalli; Kenganalu; Agaradahalli; Basavapura",Section 3D declaration,S.O. 3109(E),2026-06-12,acquired_declared,0.73773,1.822971,,,not_found_in_public_source,public_schedule,Gazette Tracker,CG-DL-E-16062026-273504
REAL-NH63-4-218-DHARWAD-2026,"NH 63, NH 4 & NH 218 Hubballi stretches",Ministry of Road Transport and Highways,Competent Authority / NHAI,Dharwad,Hubballi,Hubblli,Section 3D declaration,S.O. 2911(E),2026-06-08,acquired_declared,0.025181,0.062224,,,not_found_in_public_source,public_schedule,Gazette Tracker,CG-DL-E-11062026-273310
REAL-BDA-PRR1-BBC6-2026,"Peripheral Ring Road-1 / Bangalore Business Corridor",Bangalore Development Authority,Special Land Acquisition Officer BBC-6,Bengaluru Urban,Multiple,"Madanayakanahalli; Hanumanthasagara; Kuduregere; Thammenahalli; Chikkabanavara; Soladevanahalli; Kempapura; Kalathammanahalli",Section 16(2) possession notification,BDA/BBC-6/PRR-1/191/2026-27,2026-08-18,acquired_possession_taken,81.372166,201.075,,,not_reported,public_schedule,NammaWard / Karnataka Gazette,"177 schedule rows; eight villages; total 201 acres 3 guntas"
REAL-BDA-PRR1-BBC8-2026,"Peripheral Ring Road-1 / Bangalore Business Corridor",Bangalore Development Authority,Special Land Acquisition Officer BBC-8,Bengaluru Urban,Multiple,"Kachamaranahalli; Sulikunte; Kodathi; Chokkasandra; Avalahalli",Section 16(2) possession notification,BDA-BBC80LAC/354/2026-BBC8,2026-08-06,acquired_possession_taken,,, ,,,not_reported,public_schedule,NammaWard / Karnataka Gazette,"24 schedule rows across five villages; total extent is available in the Gazette schedule"
REAL-KHB-SURYANAGAR4-ANEKAL-2013,"Suryanagar 4th Phase Layout",Karnataka Housing Board,Karnataka Housing Board,Anekal,Multiple,"Indlavadi; Bagganadoddi; Kadujakkanahalli; Konasandra; Bommandhahalli",Final acquisition notifications,Multiple final notifications,2015-03-12,quashed_by_high_court,784.412299,1938.325,,,not_reported,not_applicable,Times of India / Karnataka High Court,"High Court judgment dated 29-Aug-2026 quashed acquisition proceedings covering 1,938 acres 13 guntas"
REAL-BBC-COMP-2026,"Bangalore Business Corridor land compensation milestone",Bangalore Development Authority,Bangalore Business Corridor,Bengaluru Urban,Multiple,Multiple,Compensation reported in public news report,,,2026-01-28,compensation_reported,,,5760000.0,5760000.0,partially_reported,publicly_named_beneficiary,New Indian Express,"First reported beneficiary Asif Ali Niyaz: 4 guntas; two cheques of ₹28.80 lakh each, total ₹57.60 lakh"
