source_id,project_id,source_type,publication_date,reference,supports,url
SRC-001,REAL-NH169-UDUPI-2026,Gazette,2026-04-09,CG-DL-E-09042026-271655 / S.O. 1798(E),"20 parcels, survey numbers, area, owner/interested-person names, acquisition declaration",https://www.gazettetracker.com/g/CG-DL-E-09042026-271655
SRC-002,REAL-NH7-BENGALURU-2026,Gazette,2026-02-25,CG-DL-E-25022026-270451 / S.O. 980(E),"Survey No. 33, 0.166933 ha, owner/interested-person names, acquisition declaration",https://www.gazettetracker.com/g/CG-DL-E-25022026-270451
SRC-003,REAL-UKP3-2026,Newspaper report,2026-06-03,"Times of India – Staff crunch, fund shortage stall UKP-III land acquisition","75,563 acres, 186 villages, 2,543 acres compensated, ₹544 crore disbursed for 1,208 acres in 26 villages",https://timesofindia.indiatimes.com/city/hubballi/staff-crunch-fund-shortage-stall-ukp-iii-land-acquisition/articleshow/131489151.cms
SRC-004,REAL-UKP3-2026,Court judgment,2025-12-19,Krishna Bhagya Jala Nigam Ltd vs Gurabasappa Siddanagouda Patil,"Approx. 75,563 acres across Vijayapura, Bagalkote, Kalaburagi, Yadagiri, Jamakhandi, Hunagund, Raichur and Belagavi; original award market values",https://indiankanoon.org/doc/167576421/
SRC-005,REAL-NH748A-BELAGAVI-2026,Gazette,2026-04-02,CG-DL-E-02042026-271533 / S.O. 1672(E),"NH 748A Km 0+000–43+800; 25.88103 ha acquisition declaration",https://gazettetracker.com/g/CG-DL-E-02042026-271533
SRC-006,REAL-NH748A-BAGALKOTE-2026,Gazette,2026-08-07,CG-DL-E-07082026-275280 / S.O. 4376(E),"NH 748A Km 136+100–182+300; 7.029115 ha; parcel schedule with owners",https://gazettetracker.com/g/CG-DL-E-07082026-275280
SRC-007,REAL-NH13-SHIVAMOGGA-2026,Gazette Tracker record,2026-06-16,CG-DL-E-16062026-273504 / S.O. 3109(E),"NH 13 Chitradurga–Shivamogga section; 0.73773 ha",https://gazettetracker.com/g/CG-DL-E-16062026-273504
SRC-008,REAL-NH63-4-218-DHARWAD-2026,Gazette Tracker record,2026-06-11,CG-DL-E-11062026-273310 / S.O. 2911(E),"NH 63/NH 4/NH 218 Hubballi stretch; 0.025181 ha",https://gazettetracker.com/g/CG-DL-E-11062026-273310
SRC-009,REAL-BDA-PRR1-BBC6-2026,Karnataka Gazette summary,2026-08-21,"BDA/BBC-6/PRR-1/191/2026-27","Section 16(2) possession notification; 177 rows; eight villages; total 201 acres 3 guntas",https://nammaward.in/wardpulse/bda-records-possession-of-201-acres-for-prr-1-and-warns-against-transactions-in-eight-villages
SRC-010,REAL-BDA-PRR1-BBC8-2026,Karnataka Gazette summary,2026-08-28,"BDA-BBC80LAC/354/2026-BBC8","Section 16(2) possession notification; 24 rows across five villages",https://nammaward.in/wardpulse/a-second-prr-1-possession-notification-covers-24-parcels-in-varthur-and-sarjapur
SRC-011,REAL-KHB-SURYANAGAR4-ANEKAL-2013,Court judgment / newspaper,2026-08-29,"Karnataka Housing Board v. Smt A Radha and connected appeals","High Court quashed acquisition proceedings; final notifications covered 1,938 acres 13 guntas in five Anekal villages",https://indiankanoon.org/doc/61939268/
SRC-012,REAL-BBC-COMP-2026,Newspaper report,2026-01-28,"New Indian Express – First land compensation for Bengaluru Business Corridor handed out","Asif Ali Niyaz: 4 guntas; two cheques of ₹28.80 lakh each; total ₹57.60 lakh",https://www.newindianexpress.com/cities/bengaluru/2026/Jan/28/first-land-compensation-for-bengaluru-business-corridor-handed-out
